r,l,t,episode
-97.920234,999,332.052421,223
17.48775,837,333.051093,224
9.369235,927,334.192966,225
-97.484234,999,337.470817,226
85.220371,151,337.600122,227
69.992659,303,337.870082,228
-98.015136,999,340.554067,229
53.832246,475,340.96318,230
76.396401,239,341.187453,231
-97.514804,999,342.102809,232
86.286823,138,343.938956,233
-96.991602,999,344.951765,234
19.903882,824,345.750237,235
75.237436,254,348.483639,236
-97.152672,999,349.618464,237
-96.83429,999,352.870465,238
47.387632,540,353.395842,239
15.369203,872,354.177708,240
-98.461898,999,356.932994,241
13.539061,889,357.774904,242
10.619068,919,360.429322,243
76.000867,250,360.644061,244
23.112423,784,361.389542,245
61.315171,400,361.878085,246
42.691405,589,365.036897,247
-97.467701,999,366.409839,248
47.113976,549,367.055709,249
11.790598,906,369.768298,250
47.374148,543,370.244744,251
44.403024,566,370.764222,252
26.914857,750,373.206955,253
-96.66101,999,374.12824,254
70.068894,309,374.456246,255
-96.021103,999,377.102869,256
77.920693,229,377.389014,257
52.343084,488,377.959187,258
19.620018,828,381.570328,259
-97.019202,999,382.884691,260
11.52305,902,383.730346,261
-97.86627,999,386.320428,262
59.483433,420,386.690321,263
43.852064,573,387.200999,264
65.455639,356,389.191227,265
-96.841559,999,390.097131,266
31.800324,704,390.781487,267
-96.40139,999,393.607079,268
68.397907,322,393.954215,269
51.045582,505,394.536978,270
52.659867,488,397.680097,271
75.006948,253,397.964187,272
-96.723844,999,399.044425,273
59.89262,408,399.47248,274
48.226434,531,401.638957,275
60.134277,412,402.020553,276
69.586091,312,402.348497,277
69.425069,316,402.644172,278
55.037229,465,403.036967,279
28.362391,733,405.556355,280
42.064627,598,406.070664,281
78.745608,216,406.314924,282
59.04718,422,406.707089,283
36.527341,648,409.176636,284
44.093498,580,409.877674,285
68.697048,320,410.234249,286
66.2569,345,410.708772,287
36.667425,656,413.883643,288
-97.661721,999,414.932092,289
33.490704,680,415.574528,290
-97.369482,999,418.257773,291
-97.812455,999,419.157521,292
3.00034,990,421.797457,293
51.727219,494,422.252686,294
59.919165,407,422.648813,295
22.173968,790,425.382867,296
69.979429,305,425.704537,297
-97.640457,999,426.940679,298
54.668535,461,429.954649,299
-98.206533,999,430.891183,300
76.203838,243,431.102905,301
16.189332,858,433.748612,302
34.96333,665,434.387195,303
53.098712,487,434.821439,304
-97.577034,999,437.500304,305
59.923931,407,437.843539,306
55.803193,455,438.268162,307
47.035048,546,438.781686,308
68.241044,323,439.051672,309
41.572744,591,441.859876,310
64.64227,362,442.345243,311
70.852713,296,442.649182,312
25.405985,766,443.533371,313
57.811464,428,446.498909,314
54.888839,459,446.89605,315
39.781327,614,447.497503,316
-96.980069,999,450.131896,317
54.738267,462,450.599001,318
19.29908,823,451.353145,319
65.713678,352,451.691552,320
60.744086,400,453.782661,321
15.330355,867,454.590998,322
-97.408556,999,457.750278,323
6.471174,960,458.874156,324
50.03084,512,459.42838,325
14.697625,877,462.729104,326
69.284963,321,463.019556,327
58.109255,431,463.475771,328
49.6451,522,463.925051,329
61.353793,401,466.072205,330
68.36343,324,466.420334,331
69.449263,314,466.693736,332
61.873808,391,467.03428,333
35.562685,662,467.71662,334
39.38262,619,470.020004,335
11.530533,918,470.883777,336
62.447977,383,471.245276,337
68.183447,325,471.597341,338
34.969357,671,475.28432,339
65.768225,349,475.913471,340
40.22161,614,477.163587,341
78.362549,219,477.737754,342
76.732272,242,484.687913,343
76.892499,234,485.044457,344
67.875108,335,485.543983,345
41.727293,602,486.821094,346
58.87053,422,487.750019,347
77.279239,236,488.561277,348
78.479771,225,494.479372,349
71.08707,297,495.587647,350
54.420835,473,497.273014,351
76.935709,241,498.151668,352
69.416197,316,499.228283,353
68.96485,321,499.989924,354
75.750059,253,500.446664,355
66.310056,344,505.490283,356
63.564404,373,506.498666,357
75.422009,251,507.541295,358
52.939133,480,509.780234,359
50.930411,504,511.385218,360
44.928677,568,516.857762,361
67.896271,334,517.293763,362
61.122417,406,517.74338,363
54.181646,474,518.536266,364
61.366423,398,519.21139,365
71.138612,295,524.437423,366
58.519633,430,525.880438,367
58.899487,422,527.082323,368
78.55788,227,527.530128,369
14.08337,890,533.950238,370
71.655871,296,534.62493,371
81.778639,190,535.150203,372
57.568704,446,536.258513,373
55.265467,460,537.117891,374
62.540357,385,538.047341,375
86.08097,146,542.656145,376
52.812129,487,543.90625,377
54.718554,467,544.769708,378
76.874319,236,545.499778,379
56.979598,446,546.853114,380
86.740628,138,547.298076,381
61.546317,398,553.549732,382
66.505016,351,554.463382,383
76.82004,236,555.168512,384
86.099931,143,555.567825,385
70.303528,315,556.339714,386
48.366321,539,558.34852,387
77.997273,225,559.207937,388
65.936781,357,565.174776,389
77.515052,230,566.033523,390
76.096788,248,566.857432,391
78.393158,226,567.630805,392
85.225789,152,568.036163,393
68.881624,318,568.960924,394
76.017388,249,569.95622,395
64.439692,368,571.720028,396
84.169786,165,577.451347,397
86.642775,142,577.797446,398
59.497659,424,578.93663,399
61.43095,403,579.764648,400
57.884907,436,580.934797,401
73.420788,274,581.653434,402
85.164548,152,582.180797,403
65.114579,366,589.109834,404
71.510602,294,589.702473,405
81.167606,193,590.260366,406
82.70547,177,590.825861,407
63.961191,372,592.148277,408
75.735476,247,592.945079,409
87.029572,134,593.373844,410
68.546242,324,600.214707,411
77.086606,237,600.87725,412
77.557986,228,601.576694,413
84.17815,164,601.922201,414
73.405129,271,602.326531,415
86.283579,140,602.528667,416
78.080612,222,603.249599,417
75.948399,247,603.839239,418
73.43796,277,604.411416,419
76.038861,246,604.924433,420
88.974796,118,609.715853,421
86.612519,140,610.165081,422
74.984448,257,611.134066,423
85.353289,156,611.818803,424
84.790394,161,612.500063,425
76.089792,245,613.286594,426
86.44592,138,613.828996,427
70.761216,305,615.210957,428
85.802411,147,615.833121,429
75.431587,255,616.422803,430
76.924694,245,620.867134,431
85.640059,149,621.302402,432
77.587377,233,621.78668,433
84.341423,161,622.1466,434
84.53682,163,622.460119,435
77.724029,228,622.800056,436
86.3195,146,623.162596,437
86.16149,144,623.556519,438
72.999498,284,624.332573,439
84.023791,169,624.74319,440
83.546914,168,625.215275,441
78.655512,222,632.125955,442
75.770992,254,632.982202,443
82.851024,182,633.577942,444
83.400986,172,633.935193,445
86.206353,144,634.415298,446
78.659477,220,634.951395,447
60.919887,407,635.893453,448
85.460761,153,636.287525,449
81.178729,192,637.305382,450
78.640165,228,643.004118,451
85.245532,154,643.425691,452
84.123736,165,643.667679,453
86.198927,142,643.874295,454
84.369262,162,644.12676,455
84.915373,157,644.384387,456
84.182537,164,644.729598,457
85.52244,150,645.075737,458
87.207856,136,645.433504,459
77.97372,229,645.84641,460
87.28233,133,646.10062,461
75.251202,259,646.978392,462
86.404141,142,647.287804,463
75.636652,253,650.571212,464
85.899116,149,650.807772,465
75.402136,258,651.084182,466
80.559271,207,651.385958,467
84.143415,163,651.638773,468
80.419609,203,651.8854,469
88.291313,124,652.060717,470
80.711119,197,652.379543,471
86.922203,134,652.560714,472
87.470983,130,652.776805,473
86.14581,146,652.964746,474
88.425161,123,656.062233,475
79.360527,214,656.312774,476
88.024572,123,656.46629,477
82.487215,183,656.657377,478
85.898276,145,656.80202,479
85.732236,151,656.956356,480
86.094428,146,657.082391,481
85.177376,153,657.224912,482
86.804284,139,657.407958,483
82.732271,183,657.625983,484
84.947181,156,657.781387,485
87.526087,130,657.914427,486
86.466919,142,658.060735,487
86.117876,144,658.200094,488
91.973178,86,660.813354,489
87.540475,127,660.983998,490
88.155926,124,661.146886,491
79.062197,214,661.454257,492
83.087251,176,661.733779,493
85.436671,151,661.899054,494
83.177966,175,662.108829,495
81.064511,193,662.368309,496
87.818715,125,662.547804,497
87.92529,130,662.697134,498
83.395512,170,662.890596,499
83.464314,173,663.136004,500
88.538478,117,663.282707,501
86.718936,139,666.099812,502
87.16176,137,666.221485,503
84.292585,162,666.414179,504
82.112674,184,666.608828,505
86.476412,142,666.767421,506
89.290281,111,666.876355,507
83.063988,175,667.055072,508
86.359566,138,667.182239,509
86.115242,143,667.32869,510
89.011494,120,667.476862,511
90.763954,95,667.575754,512
86.376838,143,667.69654,513
87.682234,128,667.820805,514
83.289521,170,667.974417,515
88.79794,118,668.087442,516
86.311069,147,669.998834,517
91.998964,83,670.086976,518
91.848662,84,670.162851,519
89.413475,109,670.263154,520
89.492643,111,670.381944,521
89.588058,105,670.497999,522
87.477373,133,670.609221,523
88.118028,124,670.714892,524
86.997443,132,670.827381,525
86.323873,142,670.964203,526
87.182227,136,671.092992,527
91.940101,84,671.157465,528
91.757966,84,671.236044,529
88.388256,122,671.366358,530
82.58525,180,671.55587,531
88.140241,122,671.6636,532
85.355157,156,671.809233,533
87.461881,133,673.738935,534
90.64894,94,673.823031,535
91.825943,86,673.899752,536
89.911297,103,673.98946,537
89.287389,113,674.086675,538
91.443149,89,674.155039,539
91.413455,90,674.251281,540
90.725827,95,674.354341,541
89.900544,105,674.473738,542
85.456191,151,674.606553,543
91.039515,91,674.688592,544
87.169846,134,674.802399,545
90.827844,95,674.88749,546
91.399745,87,674.967912,547
86.606658,138,675.090989,548
88.318792,122,675.197741,549
90.848251,95,675.313667,550
90.118759,101,675.439814,551
86.27194,142,675.636178,552
90.083003,103,678.162244,553
90.901734,96,678.272907,554
88.251322,121,678.41552,555
91.178648,90,678.519796,556
89.271156,109,678.639278,557
83.270453,173,678.820362,558
92.054508,81,678.907294,559
90.529434,99,679.010355,560
89.167979,113,679.124187,561
87.996938,125,679.26203,562
90.93326,93,679.404624,563
90.617134,95,679.528902,564
89.864953,108,679.668902,565
91.211077,92,679.762585,566
87.706379,127,679.925739,567
84.16726,163,680.126292,568
89.224611,117,680.266354,569
86.48164,140,680.424371,570
87.528627,128,682.672177,571
91.807625,88,682.749531,572
87.598862,125,682.855983,573
91.577403,86,682.934426,574
91.228562,90,683.012853,575
89.02759,118,683.119437,576
90.537688,97,683.206649,577
89.722567,105,683.318086,578
90.991356,92,683.416561,579
86.067423,144,683.570674,580
92.468227,78,683.643193,581
87.109672,136,683.767196,582
92.18032,80,683.845139,583
89.230424,112,683.9412,584
92.010378,83,684.008148,585
89.072375,111,684.106804,586
92.009973,83,684.185507,587
91.398427,87,684.274441,588
86.174054,141,684.42787,589
91.528823,85,684.5141,590
88.70931,118,686.373251,591
91.671267,87,686.472317,592
88.764565,121,686.578178,593
92.025082,82,686.652405,594
91.620989,84,686.729235,595
83.729667,165,686.879911,596
91.588439,86,686.961211,597
88.02378,128,687.070832,598
85.080977,163,687.214547,599
92.087671,83,687.30204,600
90.739317,97,687.406756,601
92.64191,77,687.493273,602
91.753711,87,687.581547,603
84.875721,157,687.728709,604
92.568755,76,687.797726,605
92.402999,82,687.863104,606
92.007897,80,687.950082,607
91.759144,87,688.036957,608
92.068814,81,688.100403,609
91.857865,83,688.178044,610
92.187571,81,690.012609,611
91.856629,82,690.089068,612
92.80087,73,690.148069,613
89.358056,109,690.25122,614
91.826377,83,690.344058,615
85.580556,149,690.50847,616
92.003366,82,690.570825,617
86.821542,139,690.70462,618
91.380546,89,690.774573,619
91.98366,82,690.848907,620
91.169385,91,690.93056,621
91.805691,87,691.000245,622
92.472254,78,691.082657,623
91.738615,86,691.161552,624
89.550237,109,691.26289,625
92.100148,82,691.359001,626
92.381598,78,691.474641,627
91.952061,81,691.626489,628
91.187842,91,691.730492,629
88.833019,115,691.86873,630
92.335914,79,691.956416,631
92.199872,79,692.040339,632
90.55059,96,694.579226,633
91.302452,91,694.678837,634
87.595141,129,694.886792,635
91.531882,89,695.048388,636
92.425288,78,695.276898,637
91.674518,85,695.440361,638
92.487093,78,695.579865,639
91.807818,82,695.702907,640
92.725916,75,695.867245,641
92.268088,79,696.009136,642
92.273825,79,696.138914,643
91.5,85,696.288931,644
90.088446,103,696.515855,645
91.704984,86,696.656529,646
92.2,78,696.821869,647
92.095963,81,696.97406,648
91.572709,87,697.127092,649
92.9,71,697.302655,650
91.899356,82,697.456826,651
92.571232,77,697.601193,652
84.53187,157,697.852188,653
91.315279,88,697.995795,654
84.204697,165,700.416981,655
92.088005,80,700.507278,656
92.114233,81,700.58431,657
92.156955,80,700.667838,658
91.846861,83,700.751198,659
92.56075,80,700.848387,660
86.892392,136,700.995297,661
92.909349,74,701.073354,662
91.923204,83,701.144491,663
91.588604,86,701.233077,664
90.413456,98,701.355381,665
92.312366,77,701.452485,666
91.188192,93,701.567085,667
92.899773,72,701.678621,668
91.93257,82,701.762364,669
92.273217,82,701.850154,670
84.878725,155,702.023643,671
92.534681,76,702.102899,672
91.298524,89,702.189973,673
90.989613,93,702.297227,674
91.786513,83,702.401196,675
92.711053,75,702.501236,676
85.900326,145,702.652261,677
92.632618,78,705.463912,678
92.356676,78,705.564543,679
92.213326,79,705.661403,680
91.980238,81,705.77572,681
92.238862,78,705.864922,682
92.553226,77,705.958677,683
91.809671,82,706.04548,684
91.599294,85,706.125854,685
92.441598,78,706.199259,686
92.096081,80,706.294207,687
92.185583,80,706.375718,688
92.499758,76,706.454005,689
92.152855,81,706.527987,690
92.207967,80,706.598471,691
87.637555,128,706.709418,692
89.223376,112,706.810112,693
85.182721,153,706.936212,694
92.244108,81,706.998145,695
83.516362,170,707.154947,696
92.367215,78,707.22192,697
91.432627,87,707.325253,698
91.670239,86,707.411201,699
92.2,78,709.709699,700
92.813869,74,709.80829,701
91.346998,88,709.919405,702
92.508932,78,710.021297,703
89.589501,109,710.152345,704
91.776492,85,710.292234,705
89.830655,106,710.444318,706
92.740586,73,710.552378,707
92.464336,80,710.64215,708
92.466611,78,710.739972,709
91.8,82,710.820755,710
86.776181,135,710.984373,711
91.999635,81,711.081176,712
91.769964,84,711.155148,713
92.595991,76,711.235422,714
88.588514,116,711.393317,715
92.695795,75,711.476014,716
87.688575,126,711.67207,717
93.025334,72,711.757445,718
91.903475,82,711.855654,719
91.272155,90,711.96787,720
85.382418,150,712.139002,721
86.448135,141,714.64097,722
92.366502,78,714.711863,723
91.529592,88,714.802482,724
92.228462,78,714.861711,725
92.086082,85,714.938582,726
92.674409,76,715.008502,727
92.635789,75,715.067257,728
92.609281,75,715.142163,729
91.509912,85,715.212021,730
92.29772,78,715.293645,731
91.860711,82,715.383968,732
92.2,78,715.473605,733
91.601846,86,715.563648,734
91.895583,83,715.639051,735
92,80,715.704241,736
92.2,78,715.784998,737
91.918909,82,715.866111,738
92.372539,79,715.927907,739
92.221181,80,716.002872,740
92.806514,72,716.070936,741
91.617537,86,716.140427,742
92.330243,79,716.213443,743
92.364981,78,716.304394,744
92.079695,80,716.399423,745
92.271856,81,716.488318,746
91.691103,87,718.301792,747
91.989893,83,718.396455,748
92.389558,77,718.480006,749
92.545563,78,718.552553,750
91.883164,82,718.61411,751
91.6,84,718.688581,752
92.096839,81,718.761051,753
89.549906,109,718.849448,754
89.952103,102,718.938815,755
92.587942,76,719.018531,756
92.460343,79,719.093927,757
92.448803,78,719.166336,758
92.357382,78,719.231448,759
91.987819,82,719.328,760
92.7,73,719.409956,761
91.761844,85,719.500582,762
91.813928,84,719.570487,763
92.598687,75,719.636698,764
92.170808,82,719.709154,765
91.258814,89,719.777115,766
92.387548,77,719.845748,767
92.272741,78,719.918514,768
92.617848,75,719.988397,769
92.931714,71,720.059082,770
92.140283,80,720.136512,771
92.245631,80,720.197827,772
92.592295,75,722.018239,773
92.64052,75,722.09225,774
92.014514,81,722.156141,775
86.456453,142,722.304057,776
92.13525,81,722.397029,777
91.959239,82,722.476929,778
92.687847,76,722.56071,779
91.692691,85,722.637326,780
92.116743,81,722.712249,781
91.867443,82,722.774655,782
92.467855,79,722.84955,783
91.992463,84,722.929583,784
91.9,81,722.990277,785
92.72846,76,723.073295,786
92.347705,78,723.145612,787
92.582101,75,723.203783,788
92.266584,79,723.293547,789
90.99838,92,723.394876,790
92.64203,77,723.480708,791
91.853721,83,723.541619,792
92.550192,77,723.612934,793
92.183947,80,723.69081,794
92.586051,76,723.748034,795
92.198731,79,723.819666,796
91.840226,86,726.358988,797
91.7,83,726.487741,798
92.3,77,726.580348,799
92.683318,77,726.666377,800
92.290548,78,726.737323,801
91.894884,82,726.822422,802
92.337019,78,726.912287,803
92.150787,80,726.995677,804
92.492768,76,727.06248,805
91.890377,82,727.148758,806
92.287782,78,727.232143,807
92.044764,84,727.341366,808
91.907384,83,727.460309,809
92.1,79,727.544052,810
92.410183,79,727.620491,811
92.277448,79,727.717129,812
92.373597,79,727.811757,813
92.404763,77,727.897105,814
92.714263,74,727.991256,815
92.1,79,728.093022,816
91.995373,81,728.170449,817
91.986151,82,728.276645,818
92.5,75,728.375367,819
92,80,728.487481,820
92.516698,78,728.578137,821
92.169672,79,728.665784,822
92.6,74,730.832092,823
92.108283,81,730.906641,824
92.766909,73,730.970644,825
92.1,79,731.048091,826
92.273803,80,731.125872,827
92.448635,76,731.188458,828
91.756834,83,731.276059,829
91.545254,85,731.371182,830
91.897212,84,731.464275,831
92.582775,77,731.536908,832
