r,l,t,episode
-0.002308,999,515.177974,213
-0.002502,999,517.89801,214
-0.002353,999,520.704499,215
-0.002344,999,522.742082,216
-0.002301,999,524.644051,217
-0.002133,999,526.621391,218
-0.002251,999,528.629174,219
-0.002185,999,530.902829,220
-0.002076,999,533.658998,221
-0.002352,999,536.629316,222
-0.00243,999,538.629052,223
-0.00237,999,540.747629,224
-0.002596,999,542.775961,225
-0.002514,999,544.76523,226
-0.002251,999,546.79408,227
-0.002329,999,549.431477,228
-0.002278,999,552.292667,229
-0.002098,999,554.60234,230
-0.001966,999,556.55453,231
-0.002101,999,558.610412,232
-0.001995,999,560.775261,233
-0.00198,999,562.964727,234
-0.001877,999,565.384749,235
-0.001953,999,567.993385,236
-0.001943,999,570.777957,237
-0.001908,999,572.804248,238
-0.001732,999,574.750201,239
-0.001949,999,576.741468,240
-0.001814,999,578.77127,241
-0.001662,999,581.0152,242
-0.001918,999,583.678993,243
-0.001738,999,586.585773,244
-0.001579,999,588.845505,245
-0.001556,999,589.889966,246
-0.001583,999,591.974696,247
-0.001702,999,594.071862,248
-0.001604,999,596.067298,249
-0.001546,999,598.267919,250
-0.001527,999,601.106756,251
-0.001519,999,603.900756,252
-0.001465,999,605.808727,253
-0.001392,999,607.708519,254
-0.001403,999,609.614847,255
-0.001447,999,611.568518,256
-0.001431,999,613.505772,257
-0.001505,999,615.993277,258
-0.001371,999,618.62988,259
-0.00148,999,621.162619,260
-0.001394,999,623.096875,261
-0.001364,999,624.877982,262
-0.001281,999,626.788624,263
-0.001331,999,628.733063,264
-0.001402,999,630.721971,265
-0.001385,999,633.184651,266
-0.001159,999,635.819107,267
-0.00125,999,638.142822,268
-0.001287,999,640.077539,269
-0.001273,999,642.09086,270
-0.001263,999,644.130946,271
-0.001399,999,646.102609,272
-0.001417,999,648.8149,273
-0.00124,999,651.644661,274
-0.001248,999,654.540779,275
-0.001285,999,656.524042,276
-0.001206,999,658.523008,277
-0.00125,999,660.578213,278
-0.001297,999,662.728206,279
-0.001162,999,665.09155,280
-0.001138,999,667.511695,281
-0.001178,999,670.430655,282
-0.001161,999,672.561902,283
-0.001239,999,674.421294,284
-0.001067,999,676.388295,285
-0.001173,999,678.324702,286
-0.001223,999,679.322013,287
-0.001047,999,681.537455,288
-0.001118,999,684.190753,289
-0.001087,999,686.83521,290
-0.001152,999,689.332362,291
-0.001085,999,691.416323,292
-0.001156,999,693.450079,293
-0.001182,999,695.390202,294
-0.00114,999,697.386853,295
-0.001174,999,699.711143,296
-0.001087,999,702.44983,297
-0.001115,999,705.367118,298
-0.001085,999,707.398571,299
-0.001081,999,709.463688,300
-0.001239,999,711.749953,301
-0.001254,999,714.022052,302
-0.001185,999,716.577849,303
-0.001155,999,719.458994,304
-0.001119,999,722.229745,305
-0.00116,999,724.367899,306
-0.001049,999,726.517335,307
-0.001237,999,728.537235,308
-0.001064,999,730.480105,309
-0.001036,999,732.62635,310
-0.000971,999,735.060585,311
-0.000943,999,737.656991,312
-0.000859,999,739.834737,313
-0.000903,999,741.923088,314
-0.000886,999,743.901723,315
-0.000878,999,745.836039,316
-0.000882,999,747.753892,317
-0.000899,999,750.123574,318
-0.000865,999,752.851781,319
-0.001062,999,755.510406,320
-0.001024,999,757.448597,321
-0.000855,999,759.346418,322
-0.00092,999,761.306389,323
-0.000922,999,763.239042,324
-0.000828,999,765.03287,325
-0.000816,999,767.506122,326
-0.000692,999,770.305223,327
-0.000783,999,771.600198,328
-0.000777,999,773.703377,329
-0.000973,999,775.628733,330
-0.000797,999,777.542207,331
-0.000806,999,779.43092,332
-0.000815,999,781.338319,333
-0.000807,999,783.642737,334
-0.000811,999,786.074143,335
-0.000958,999,788.79433,336
-0.00082,999,790.703573,337
-0.000737,999,792.731166,338
-0.000768,999,794.593274,339
-0.000804,999,796.492088,340
-0.000759,999,798.391236,341
-0.000898,999,800.799031,342
-0.000731,999,803.510495,343
-0.000755,999,806.201261,344
-0.001164,999,808.104562,345
-0.001074,999,809.994925,346
-0.000878,999,811.917136,347
-0.000851,999,813.83772,348
-0.001112,999,815.817846,349
-0.000828,999,818.373893,350
-0.000826,999,821.04904,351
-0.000872,999,823.253664,352
-0.000894,999,825.237941,353
-0.000865,999,827.24806,354
-0.000803,999,829.278775,355
-0.000805,999,831.453946,356
-0.00082,999,834.294391,357
-0.000802,999,836.991913,358
-0.00074,999,839.5316,359
-0.000714,999,841.511641,360
-0.000836,999,843.457734,361
-0.000772,999,845.424971,362
-0.000666,999,847.322088,363
